species,IUCN,proba
Priolepis-latifascima,NThr,89.5
Priolepis-limbatosquamis,Thr,83.5
Priolepis-nuchifasciata,NThr,100.0
Priolepis-pallidicincta,NThr,100.0
Priolepis-squamogena,NThr,96.5
Priolepis-triops,NThr,92.5
Priolepis-vexilla,NThr,99.0
Prionurus-scalprum,NThr,84.0
Pristiapogon-fraenatus,NThr,98.5
Pristotis-obtusirostris,NThr,100.0
Psammoperca-waigiensis,NThr,94.0
Pseudamia-amblyuroptera,NThr,98.5
Pseudamia-gelatinosa,NThr,100.0
Pseudamia-hayashii,NThr,98.5
Pseudamiops-gracilicauda,NThr,99.0
Pseudanthias-fasciatus,NThr,100.0
Pseudanthias-heemstrai,NThr,87.0
Pseudobalistes-flavimarginatus,NThr,99.5
Pseudobalistes-fuscus,NThr,83.0
Pseudochromis-elongatus,NThr,99.5
Pseudochromis-flammicauda,NThr,89.5
Pseudochromis-flavivertex,NThr,82.5
Pseudochromis-flavopunctatus,NaN,67.5
Pseudochromis-fridmani,NThr,88.5
Pseudochromis-kristinae,NThr,90.5
Pseudochromis-leucorhynchus,NaN,76.0
Pseudochromis-litus,NThr,91.5
Pseudochromis-luteus,NThr,98.0
Pseudochromis-melas,NaN,72.5
Pseudochromis-moorei,NaN,67.0
Pseudochromis-nigrovittatus,NThr,85.0
Pseudochromis-olivaceus,NThr,95.5
Pseudochromis-persicus,NaN,53.0
Pseudochromis-pylei,NThr,100.0
Pseudochromis-quinquedentatus,NThr,95.5
Pseudochromis-ransonneti,NThr,99.5
Pseudochromis-striatus,NThr,88.0
Pseudochromis-tauberae,NaN,58.5
Pseudocoris-ocellata,NThr,93.5
Pseudojuloides-atavai,NThr,98.0
Pseudojuloides-cerasinus,NThr,100.0
Pseudojuloides-elongatus,NaN,68.5
Pseudophycis-breviuscula,NThr,86.0
Pseudoplesiops-immaculatus,NThr,100.0
Psilogobius-prolatus,NThr,86.5
Ptereleotris-microlepis,NThr,100.0
Pterocaesio-capricornis,NaN,60.5
Pterocaesio-randalli,NThr,96.0
Pycnomma-semisquamatum,NaN,51.0
Rhabdamia-cypselurus,NThr,99.0
Rhabdamia-gracilis,NThr,99.0
Rhinecanthus-aculeatus,NThr,99.5
